,True Pos,False Pos,False Neg,True Neg,Errors,Eficiency
9010,177,31.0,6,1178.0,1,97.3419540229885
9011,172,42.0,9,1169.0,1,96.33620689655173
9012,173,42.0,13,1163.0,2,96.04601006470166
9013,191,38.0,12,1152.0,0,96.41062455132807
9014,195,26.0,7,1164.0,1,97.62931034482759
9015,173,37.0,6,1176.0,1,96.91091954022988
9016,157,34.0,9,1192.0,1,96.91091954022988
9017,170,29.0,8,1185.0,1,97.3419540229885
9018,173,38.0,8,1173.0,1,96.69540229885058
9019,173,21.0,17,1182.0,0,97.27207465900933
9020,174,37.0,16,1166.0,0,96.19526202440775
9021,166,39.0,7,1181.0,0,96.69777458722182
9022,175,32.0,11,1174.0,1,96.91091954022988
9023,154,35.0,7,1197.0,0,96.98492462311557
9024,179,33.0,10,1170.0,1,96.91091954022988
9025,173,38.0,12,1170.0,0,96.41062455132807
9026,172,27.0,8,1186.0,0,97.48743718592965
9027,163,42.0,16,1172.0,0,95.83632447954056
9028,171,31.0,11,1179.0,1,96.98275862068965
9029,171,31.0,10,1181.0,0,97.05671213208902
9030,183,29.0,10,1170.0,1,97.19827586206897
9031,180,34.0,8,1171.0,0,96.98492462311557
9032,181,38.0,15,1158.0,1,96.1925287356322
9033,170,40.0,16,1167.0,0,95.97989949748744
9034,183,28.0,8,1174.0,0,97.4156496769562
9035,168,33.0,8,1182.0,2,97.05248023005032
9036,173,30.0,14,1176.0,0,96.8413496051687
9037,186,40.0,10,1156.0,1,96.4080459770115
9038,187,30.0,11,1165.0,0,97.05671213208902
9039,184,34.0,7,1168.0,0,97.05671213208902
9040,181,31.0,9,1172.0,0,97.12849964106246
9041,161,33.0,9,1190.0,0,96.98492462311557
9042,157,29.0,12,1195.0,0,97.05671213208902
9043,170,34.0,12,1177.0,0,96.69777458722182
9044,211,28.0,6,1147.0,1,97.5574712643678
9045,158,31.0,14,1190.0,0,96.76956209619526
9046,183,35.0,12,1162.0,1,96.62356321839081
